Airport ID,label
3348,0
3347,0
6268,0
3353,0
6235,0
6266,0
6310,0
6315,0
3358,0
3360,0
4052,0
6249,0
6252,0
6261,0
6287,0
6302,0
6307,0
6317,0
6320,0
6793,0
6794,0
6808,0
4033,1
4085,1
4109,1
4110,1
4301,1
4334,1
5475,1
6342,1
6343,1
6344,1
6345,1
6346,1
6348,1
6349,1
6350,1
6352,1
6353,1
6355,1
6356,1
6360,1
6361,1
6366,1
6367,1
6368,1
6379,1
6380,1
6381,1
6383,1
6384,1
6387,1
6388,1
6391,1
6394,1
6395,1
6397,1
6398,1
6399,1
6400,1
6401,1
6403,1
6411,1
6413,1
6414,1
6427,1
6428,1
6430,1
6431,1
6433,1
6434,1
6772,1
6944,1
6954,1
6955,1
7898,1
6341,1
7503,1
6359,1
6385,1
7508,1
7519,1
6382,1
6743,1
6358,1
4308,1
6407,1
6432,1
4054,1
4055,1
6375,1
6376,1
6377,1
6378,1
7505,1
7506,1
7527,1
7528,1
7862,1
7504,1
6963,1
3396,1
6396,1
6402,1
3397,1
3398,1
6404,1
6406,1
6408,1
6409,1
6752,1
6946,1
6410,1
6943,1
6412,1
6429,1
3415,4
3417,23
3832,23
6712,23
6839,23
3420,23
7105,23
7114,23
7118,23
3423,23
5965,23
3426,23
7247,23
3429,23
3430,23
3599,23
3442,4
6505,4
3445,4
3446,4
3743,4
3517,4
3524,4
3582,4
3608,4
3611,4
3633,4
3701,4
3712,4
3820,4
3864,4
4026,4
4112,4
4265,4
4278,4
5749,4
5767,4
5770,4
6456,4
3467,4
3495,4
3566,4
3644,4
3777,4
3807,4
3867,4
4019,4
4099,4
3454,4
3545,4
3705,4
3457,4
3461,4
3502,4
3591,4
3690,4
3863,4
5771,4
3459,4
3460,23
3794,23
6767,23
7100,23
7103,23
3559,4
3636,4
3641,4
3660,4
3811,4
3855,4
4011,4
4014,4
4124,4
7078,4
3463,4
3676,4
3696,4
4017,4
5741,4
4009,4
4021,4
4063,4
4101,4
4216,4
4292,4
4348,4
4356,4
6133,4
3685,4
3745,4
4018,4
4041,4
4359,4
3491,4
5761,4
7068,4
3492,23
3808,23
3856,23
4147,23
5960,23
5961,23
5963,23
6803,23
7135,23
7136,23
7137,23
7138,23
7141,23
7142,23
7243,23
3497,4
5733,4
3498,4
3652,4
3829,4
3840,4
5737,4
3527,4
3531,23
